,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description;;
70,1997-10-10 20:00:00,2/1/2007,1997,10,20,Autumn,USA,United States,Georgia,Bonaire,32.5436111,-83.5961111,Triangle,300.0,<5 minutes,Triangular Object Sighted at Very Close Range;;
71,1997-10-10 21:00:00,1/28/1999,1997,10,21,Autumn,USA,United States,Minnesota,Austin,43.6666667,-92.9744444,Other,3600.0,1-hour,i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car;;
72,1998-10-10 02:30:00,11/1/1998,1998,10,2,Autumn,USA,United States,California,Los Angeles,34.0983333,-118.3258333,Changing,300.0,5 minutes,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a;;
73,1998-10-10 03:30:00,2/16/1999,1998,10,3,Autumn,USA,United States,Arizona,Phoenix,33.4483333,-112.0733333,Fireball,15.0,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.;;
74,1998-10-10 13:15:00,11/1/1998,1998,10,13,Autumn,USA,United States,Illinois,Elgin,42.0372222,-88.2811111,Cylinder,1800.0,30 +/- min,While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I;;
75,1998-10-10 17:30:00,11/1/1998,1998,10,17,Autumn,USA,United States,Nevada,Las Vegas,36.175,-115.1363889,Cigar,600.0,10 minutes,White&#44 vertical cigar shape floating around in the eastern sky.;;
76,1998-10-10 17:30:00,8/30/1999,1998,10,17,Autumn,USA,United States,Nevada,Las Vegas,36.175,-115.1363889,Circle,2700.0,45min.,Ufo sighting in las vegas near Area51;;
77,1998-10-10 20:30:00,10/30/2006,1998,10,20,Autumn,USA,United States,New York,Yonkers,40.935998,-73.901708,Triangle,60.0,< 1 min,Lights over NYC;;
78,1998-10-10 20:30:00,8/5/2001,1998,10,20,Autumn,USA,United States,Washington,Spokane,47.6588889,-117.425,Triangle,600.0,10 minutes,Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet;;
79,1998-10-10 20:50:00,11/1/1998,1998,10,20,Autumn,USA,United States,North Carolina,Mooresville,35.5847222,-80.8102778,Light,2.0,2 seconds,Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.;;
80,1998-10-10 22:30:00,12/2/2000,1998,10,22,Autumn,CAN,Canada,Newfoundland and Labrador,Blackhead,47.55,-52.666667,Egg,7200.0,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.;;
81,1998-10-10 23:50:00,3/21/2003,1998,10,23,Autumn,USA,United States,Tennessee,Delano,35.265,-84.5533333,Fireball,15.0,15 seconds,I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp;;
82,1999-10-10 00:01:00,10/19/1999,1999,10,0,Autumn,USA,United States,California,Martinez,38.0194444,-122.1330556,Changing,3600.0,1 hour,Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de;;
83,1999-10-10 04:00:00,10/19/1999,1999,10,4,Autumn,USA,United States,Kansas,Kansas City,39.1141667,-94.6272222,Unknown,600.0,5-10 min.,Orange object over city.;;
84,1999-10-10 06:00:00,11/20/2001,1999,10,6,Autumn,USA,United States,Texas,Dallas,32.7833333,-96.8,Other,10.0,10 seconds,group of   twinkling lights at high altitude;;
85,1999-10-10 11:00:00,10/19/1999,1999,10,11,Autumn,USA,United States,California,San Diego,32.7152778,-117.1563889,Fireball,3600.0,1 hour,At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.;;
86,1999-10-10 12:40:00,10/19/1999,1999,10,12,Autumn,USA,United States,Washington,Kennewick,46.2113889,-119.1361111,Sphere,45.0,45 secs,Standing outside saying goodby to family members and pointing to Chem-Trails;;
87,1999-10-10 20:35:00,11/20/2001,1999,10,20,Autumn,USA,United States,California,Hayward,37.6688889,-122.0797222,Circle,90.0,60-90 sec,Many different colored glowing  objects;;
88,1999-10-10 21:00:00,5/24/2005,1999,10,21,Autumn,USA,United States,Nevada,Rachel,37.6447222,-115.7427778,Light,10800.0,3 hours,Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse.;;
89,1999-10-10 21:30:00,2/14/2006,1999,10,21,Autumn,USA,United States,Nebraska,Humphrey,41.6916667,-97.4841667,Sphere,300.0,5 min,Object moving erratically in sky stopped by spot light;;
90,1999-10-10 22:30:00,9/19/2002,1999,10,22,Autumn,USA,United States,Florida,Nokomis Beach,27.150053,-82.480653,Triangle,120.0,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel;;
91,1999-10-10 22:30:00,10/19/1999,1999,10,22,Autumn,USA,United States,Oregon,Elgin,45.565,-117.9163889,Chevron,240.0,4 minutes,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of;;
